coordinates,name,address,rating,id,searchterm,populartimes,rating_n,types
"{'lat': 1.334463, 'lng': 103.721391}",Taman Jurong Market and Food Centre,"3 Yung Sheng Rd, Singapore 618499",4,ChIJHabbDPsP2jEROQtuba0GHhc,"Taman Jurong Market and Food Centre 3 Yung Sheng Rd, Singapore 618499","[{'name': 'Monday', 'data': [1, 1, 1, 1, 1, 1, 2, 7, 9, 7, 6, 24, 61, 46, 2, 1, 1, 12, 23, 27, 22, 9, 1, 1]}, {'name': 'Tuesday', 'data': [1, 1, 1, 1, 1, 1, 7, 16, 18, 15, 12, 38, 80, 52, 2, 1, 0, 12, 24, 29, 26, 15, 2, 1]}, {'name': 'Wednesday', 'data': [1, 1, 1, 1, 1, 1, 14, 25, 30, 27, 20, 41, 96, 68, 3, 1, 1, 11, 25, 32, 29, 17, 3, 1]}, {'name': 'Thursday', 'data': [1, 1, 1, 1, 1, 2, 15, 24, 25, 19, 13, 45, 100, 62, 1, 1, 1, 11, 22, 29, 28, 21, 9, 1]}, {'name': 'Friday', 'data': [1, 1, 1, 1, 1, 2, 13, 22, 26, 26, 26, 51, 88, 68, 13, 1, 1, 12, 34, 50, 49, 31, 8, 1]}, {'name': 'Saturday', 'data': [1, 1, 1, 1, 1, 1, 11, 30, 44, 48, 41, 36, 42, 35, 11, 1, 11, 27, 42, 48, 43, 28, 11, 1]}, {'name': 'Sunday', 'data': [1, 1, 1, 1, 1, 1, 4, 17, 33, 48, 57, 57, 47, 32, 17, 8, 9, 25, 47, 54, 36, 9, 1, 1]}]",445,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3390044, 'lng': 103.7056325}",Swensen's,"63 Jurong West Central 3, #B1-64 Jurong Point Shopping Centre, Singapore",2.8,ChIJy64vxOwP2jERHW_bbUn5Tqc,"Swensen's 63 Jurong West Central 3, #B1-64 Jurong Point Shopping Centre, Singapore","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 30, 20, 20, 30, 30, 20, 10, 30, 80, 70, 20, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 40, 50, 60, 40, 30, 30, 40, 50, 50, 30, 10, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 30, 30, 20, 20, 40, 70, 70, 70, 60, 50, 20, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50, 40, 10, 20, 50, 80, 100, 100, 70, 40, 10, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 50, 70, 70, 50, 30, 20, 30, 60, 80, 80, 60, 30, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 20, 40, 40, 40, 40, 40, 50, 50, 50, 50, 40, 20, 10, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 20, 30, 40, 40, 40, 50, 60, 60, 50, 60, 80, 60, 10, 0]}]",21,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3437155, 'lng': 103.7378722}",Yuhua Village Market,"254 Jurong East Street 24, Singapore 600254",3.9,ChIJDycdABkQ2jERbkUDDjZBFk8,"Yuhua Village Market 254 Jurong East Street 24, Singapore 600254","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 15, 21, 22, 24, 32, 40, 31, 13, 4, 8, 16, 21, 21, 14, 5, 1, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 28, 38, 40, 37, 41, 49, 39, 16, 4, 8, 20, 28, 27, 16, 4, 1, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 33, 48, 48, 41, 46, 54, 40, 15, 3, 8, 18, 27, 27, 20, 9, 1, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 28, 37, 37, 34, 42, 54, 42, 15, 4, 8, 16, 22, 22, 17, 9, 1, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 31, 43, 42, 36, 41, 51, 42, 19, 6, 9, 20, 28, 28, 19, 7, 1, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 35, 56, 68, 68, 61, 52, 40, 25, 15, 15, 23, 32, 33, 25, 13, 2, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 40, 72, 95, 100, 88, 68, 47, 29, 19, 18, 27, 35, 33, 21, 7, 1, 0]}]",218,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3456465, 'lng': 103.7133357}",Power Nasi Lemak,"#01-106, 221B Boon Lay Pl, Singapore 642221",3.9,ChIJ-T2z2OkP2jERAXn_5oiPRN8,"Power Nasi Lemak #01-106, 221B Boon Lay Pl, Singapore 642221","[{'name': 'Monday', 'data': [57, 43, 30, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 20, 37, 63, 85, 86, 68, 50]}, {'name': 'Tuesday', 'data': [50, 53, 36, 14, 0, 0, 19, 30, 42, 55, 64, 67, 63, 54, 41, 29, 23, 30, 51, 72, 80, 80, 81, 79]}, {'name': 'Wednesday', 'data': [66, 43, 23, 11, 0, 0, 15, 23, 35, 47, 56, 57, 51, 40, 30, 25, 25, 32, 43, 57, 68, 74, 74, 67]}, {'name': 'Thursday', 'data': [55, 41, 28, 18, 0, 0, 18, 26, 34, 42, 47, 50, 46, 40, 32, 23, 18, 20, 35, 62, 80, 78, 66, 61]}, {'name': 'Friday', 'data': [59, 45, 27, 13, 0, 0, 20, 34, 37, 27, 30, 44, 54, 51, 38, 27, 26, 34, 48, 67, 83, 95, 100, 94]}, {'name': 'Saturday', 'data': [81, 64, 46, 30, 0, 0, 18, 30, 45, 60, 67, 65, 55, 42, 31, 25, 24, 29, 39, 54, 66, 75, 78, 74]}, {'name': 'Sunday', 'data': [64, 50, 36, 24, 0, 0, 14, 30, 47, 55, 59, 69, 72, 60, 41, 29, 29, 38, 51, 64, 73, 78, 76, 69]}]",317,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3390983, 'lng': 103.7062244}",Prata Wala,"63 Jurong West Central 3, Singapore 648331",2.9,ChIJy64vxOwP2jERepZOMMMSCuQ,"Prata Wala 63 Jurong West Central 3, Singapore 648331","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 4, 4, 16, 16, 4, 4, 4, 16, 20, 8, 4, 4, 8, 20, 37, 50, 45, 33, 16]}, {'name': 'Tuesday', 'data': [4, 0, 0, 0, 0, 4, 4, 4, 4, 12, 16, 16, 16, 12, 4, 4, 4, 8, 29, 50, 45, 50, 50, 25]}, {'name': 'Wednesday', 'data': [4, 0, 0, 0, 0, 4, 4, 4, 12, 16, 25, 25, 20, 16, 8, 4, 4, 4, 33, 54, 37, 33, 37, 29]}, {'name': 'Thursday', 'data': [12, 4, 0, 0, 0, 4, 4, 25, 25, 12, 12, 12, 12, 8, 4, 4, 4, 4, 16, 37, 54, 58, 41, 20]}, {'name': 'Friday', 'data': [4, 0, 0, 0, 0, 4, 8, 16, 16, 8, 12, 25, 33, 29, 16, 4, 4, 16, 33, 50, 58, 54, 41, 25]}, {'name': 'Saturday', 'data': [8, 4, 0, 0, 0, 0, 4, 4, 12, 12, 8, 12, 25, 33, 33, 20, 8, 8, 16, 45, 79, 95, 91, 66]}, {'name': 'Sunday', 'data': [33, 8, 4, 0, 0, 0, 4, 4, 4, 8, 16, 20, 25, 20, 16, 16, 33, 62, 66, 62, 83, 100, 62, 12]}]",54,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3402715, 'lng': 103.7058604}",Crystal Jade,"87 Jurong West Central 3, Singapore 648343 Jurong West Central 3, 03-96, Singapore 648343",3.6000001,ChIJy64vxOwP2jERf0QO605g3KQ,"Crystal Jade 87 Jurong West Central 3, Singapore 648343 Jurong West Central 3, 03-96, Singapore 648343","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12, 16, 9, 3, 3, 9, 32, 51, 35, 9, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 51, 51, 29, 25, 16, 9, 29, 54, 45, 16, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 25, 22, 19, 22, 25, 29, 38, 45, 35, 16, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 6, 9, 6, 3, 3, 25, 48, 32, 6, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25, 35, 19, 3, 3, 9, 54, 96, 67, 19, 3, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22, 29, 22, 9, 3, 3, 41, 100, 70, 12, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 38, 48, 38, 19, 19, 41, 70, 67, 38, 9, 0, 0]}]",14,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3454788, 'lng': 103.7304534}",346 Coffee Shop,"346 Jurong East Street 31, Singapore 600356",3.8,ChIJt6qo6x8Q2jEREHVN58Sgrrk,"346 Coffee Shop 346 Jurong East Street 31, Singapore 600356","[{'name': 'Monday', 'data': [23, 14, 0, 0, 0, 0, 2, 9, 21, 19, 7, 8, 30, 40, 20, 9, 13, 21, 31, 40, 46, 46, 42, 34]}, {'name': 'Tuesday', 'data': [24, 15, 0, 0, 0, 0, 10, 15, 21, 25, 29, 29, 28, 24, 19, 15, 17, 28, 47, 58, 51, 45, 47, 42]}, {'name': 'Wednesday', 'data': [23, 8, 0, 0, 0, 0, 7, 13, 20, 29, 35, 39, 37, 31, 24, 15, 10, 14, 31, 48, 48, 40, 41, 42]}, {'name': 'Thursday', 'data': [34, 19, 0, 0, 0, 0, 7, 14, 21, 21, 17, 20, 32, 28, 13, 9, 14, 23, 32, 41, 47, 48, 45, 37]}, {'name': 'Friday', 'data': [28, 19, 0, 0, 0, 0, 3, 13, 30, 34, 24, 19, 21, 21, 15, 10, 13, 23, 41, 62, 81, 91, 87, 73]}, {'name': 'Saturday', 'data': [52, 32, 0, 0, 0, 0, 10, 17, 23, 29, 34, 36, 34, 30, 23, 17, 13, 23, 68, 100, 68, 45, 60, 71]}, {'name': 'Sunday', 'data': [53, 25, 0, 0, 0, 0, 4, 10, 18, 26, 34, 37, 37, 32, 26, 26, 35, 52, 70, 81, 79, 65, 48, 34]}]",16,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3443749, 'lng': 103.7315223}",Kai Xiang Food Centre,"349 Jurong East Ave 1, Singapore 600349",4.2000003,ChIJD3D9oh8Q2jER1j7JpjGLWiM,"Kai Xiang Food Centre 349 Jurong East Ave 1, Singapore 600349","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 9, 23, 28, 16, 4, 2, 4, 14, 26, 40, 42, 33, 19, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 19, 14, 4, 0, 0, 2, 7, 21, 40, 40, 21, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21, 16, 4, 0, 0, 4, 14, 30, 35, 26, 11, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 11, 11, 7, 4, 0, 0, 4, 14, 28, 38, 35, 23, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 4, 7, 14, 14, 7, 4, 2, 2, 4, 23, 52, 54, 26, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 2, 7, 14, 14, 11, 9, 19, 40, 61, 66, 50, 26, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 19, 26, 26, 21, 14, 9, 9, 45, 100, 83, 71, 52, 14, 0]}]",12,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.341613, 'lng': 103.696974}",McDonald’s Pioneer Mall,"638 Jurong West Street 61, #01-01/02 Pioneer Mall, Singapore 640638",3.7,ChIJMRQG1JYP2jERE05odQCiRBg,"McDonald’s Pioneer Mall 638 Jurong West Street 61, #01-01/02 Pioneer Mall, Singapore 640638","[{'name': 'Monday', 'data': [69, 57, 45, 33, 14, 13, 14, 17, 22, 28, 32, 35, 36, 36, 35, 34, 35, 39, 46, 57, 67, 75, 75, 69]}, {'name': 'Tuesday', 'data': [57, 43, 30, 20, 21, 18, 19, 22, 27, 31, 34, 36, 36, 35, 34, 35, 37, 43, 52, 62, 71, 78, 78, 72]}, {'name': 'Wednesday', 'data': [62, 49, 37, 27, 22, 17, 17, 22, 27, 26, 25, 36, 57, 65, 53, 37, 33, 39, 49, 58, 66, 71, 71, 67]}, {'name': 'Thursday', 'data': [60, 51, 41, 31, 17, 16, 20, 26, 30, 28, 26, 31, 44, 44, 30, 22, 28, 41, 56, 71, 82, 88, 85, 77]}, {'name': 'Friday', 'data': [64, 48, 34, 23, 21, 19, 21, 25, 28, 32, 35, 37, 38, 37, 35, 34, 33, 37, 50, 65, 75, 80, 82, 81]}, {'name': 'Saturday', 'data': [72, 57, 40, 28, 25, 19, 21, 28, 38, 47, 54, 58, 58, 54, 47, 41, 37, 38, 45, 57, 70, 82, 91, 98]}, {'name': 'Sunday', 'data': [100, 89, 67, 42, 24, 21, 22, 30, 41, 53, 63, 68, 67, 62, 53, 47, 46, 50, 60, 71, 80, 84, 83, 78]}]",69,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3335121, 'lng': 103.698598}",Xiang Lai Bak Kut Teh,"5 Soon Lee St, Pioneer Point, Singapore 627607",4.1,ChIJs1l_644P2jERLsGyFM3h-PA,"Xiang Lai Bak Kut Teh 5 Soon Lee St, Pioneer Point, Singapore 627607","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 35, 47, 47, 47, 41, 35, 41, 52, 58, 58, 47, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 29, 41, 52, 23, 5, 5, 23, 47, 64, 70, 52, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 64, 70, 52, 41, 47, 52, 64, 82, 100, 100, 88, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 47, 58, 58, 47, 35, 29, 41, 64, 76, 64, 47, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 58, 76, 76, 58, 41, 29, 29, 52, 82, 94, 76, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 82, 94, 82, 52, 29, 17, 23, 41, 58, 70, 64, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 94, 76, 35, 23, 29, 47, 58, 64, 58, 47, 29, 0, 0]}]",9,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3420869, 'lng': 103.6975168}",Hai Tian Seafood,"638A Jurong West Street 61, Singapore 641638",4,ChIJlSlr2pYP2jERORucplH8LB0,"Hai Tian Seafood 638A Jurong West Street 61, Singapore 641638","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 45, 63, 54, 45, 36, 36, 45, 45, 36, 27, 36, 45]}, {'name': 'Tuesday', 'data': [27, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 54, 63, 63, 63, 54, 45, 36, 27, 27, 36, 45, 45]}, {'name': 'Wednesday', 'data': [27, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36, 45, 27, 36, 45, 63, 81, 81, 81, 63, 45, 27]}, {'name': 'Thursday', 'data': [18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 27, 36, 36, 27, 27, 36, 63, 81, 72, 54, 63, 63]}, {'name': 'Friday', 'data': [36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 27, 36, 36, 36, 36, 36, 54, 72, 90, 100, 90, 72]}, {'name': 'Saturday', 'data': [54, 27, 18, 0, 0, 0, 0, 0, 0, 0, 0, 18, 36, 54, 63, 54, 45, 45, 63, 90, 100, 100, 81, 54]}, {'name': 'Sunday', 'data': [27, 9, 0, 0, 0, 0, 0, 9, 9, 18, 0, 45, 54, 72, 81, 90, 90, 81, 90, 100, 100, 90, 63, 36]}]",1,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3391576, 'lng': 103.7086677}",McDonald’s Jurong Central Park,"291 Boon Lay Way, Singapore 649849",4.2000003,ChIJU_KyR-AP2jERiuYWplWqTNM,"McDonald’s Jurong Central Park 291 Boon Lay Way, Singapore 649849","[{'name': 'Monday', 'data': [48, 36, 24, 15, 9, 8, 13, 24, 30, 29, 31, 37, 44, 46, 44, 38, 34, 34, 39, 47, 55, 60, 60, 55]}, {'name': 'Tuesday', 'data': [46, 35, 24, 15, 13, 12, 13, 18, 24, 30, 34, 38, 40, 41, 41, 40, 39, 37, 37, 40, 45, 52, 56, 56]}, {'name': 'Wednesday', 'data': [50, 40, 29, 19, 9, 9, 13, 19, 26, 34, 42, 47, 49, 49, 46, 42, 40, 39, 42, 48, 57, 66, 70, 67]}, {'name': 'Thursday', 'data': [56, 40, 25, 14, 14, 12, 17, 24, 27, 28, 34, 47, 57, 56, 46, 34, 28, 31, 42, 56, 70, 79, 81, 76]}, {'name': 'Friday', 'data': [64, 49, 34, 22, 14, 12, 14, 20, 28, 36, 44, 50, 53, 52, 49, 42, 36, 33, 35, 45, 63, 84, 98, 100]}, {'name': 'Saturday', 'data': [86, 64, 41, 24, 17, 12, 14, 21, 30, 38, 42, 42, 41, 42, 44, 45, 42, 39, 41, 50, 67, 84, 96, 96]}, {'name': 'Sunday', 'data': [85, 67, 46, 29, 9, 8, 13, 25, 41, 55, 60, 52, 40, 30, 26, 29, 36, 45, 53, 61, 67, 69, 66, 58]}]",164,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3446766, 'lng': 103.7354024}",Enaq,"303 Jurong East Street 32, Singapore 600303",4.1,ChIJ5XjbxhgQ2jERM4SnMVct6-Q,"Enaq 303 Jurong East Street 32, Singapore 600303","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 17, 34, 50, 61, 66, 66, 63, 57, 46, 38, 40, 54, 71, 78, 68, 44, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 15, 32, 42, 46, 50, 55, 53, 39, 24, 20, 28, 44, 59, 66, 60, 45, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 18, 32, 47, 61, 70, 71, 66, 54, 41, 32, 32, 44, 62, 77, 76, 59, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 20, 52, 68, 61, 57, 65, 67, 54, 33, 19, 24, 46, 77, 100, 98, 75, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 20, 41, 49, 50, 61, 77, 81, 64, 38, 23, 25, 45, 73, 94, 95, 76, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 25, 49, 72, 87, 87, 74, 58, 45, 40, 42, 48, 51, 54, 71, 98, 85, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 15, 35, 59, 80, 89, 84, 69, 52, 38, 33, 38, 54, 74, 82, 69, 42, 0]}]",183,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3438972, 'lng': 103.737199}",Zai Shun Curry Fish Head,"253 Jurong East Street 24, #01-205, Singapore 600253",4.3,ChIJ4zjT-BgQ2jERwzxNacVSF_Y,"Zai Shun Curry Fish Head 253 Jurong East Street 24, #01-205, Singapore 600253","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 16, 22, 19, 29, 67, 96, 72, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 11, 21, 24, 31, 61, 87, 69, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 12, 16, 17, 30, 66, 91, 65, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 8, 13, 18, 33, 68, 96, 82, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 12, 20, 27, 36, 57, 84, 79, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 15, 32, 51, 67, 84, 100, 92, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0]}]",152,"['restaurant', 'food', 'point_of_interest', 'establishment']"
"{'lat': 1.3440698, 'lng': 103.7312603}",吉品香东北菜馆,"350 Jurong East Ave 1, 1 Block 350, Singapore 600350",3.2,ChIJ7banrx8Q2jER2R0PqfuU4Gk,"吉品香东北菜馆 350 Jurong East Ave 1, 1 Block 350, Singapore 600350","[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7, 10, 10, 7, 11, 24, 42, 51, 43, 25, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 8, 6, 3, 5, 14, 34, 56, 61, 44, 21, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 21, 21, 15, 10, 14, 32, 53, 65, 53, 30, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 3, 3, 3, 10, 30, 56, 65, 51, 26, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17, 28, 11, 5, 11, 24, 41, 53, 53, 42, 25, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 24, 26, 20, 19, 34, 60, 75, 70, 58, 42, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 28, 44, 47, 38, 34, 52, 82, 100, 91, 61, 30, 0]}]",9,"['restaurant', 'food', 'point_of_interest', 'establishment']"
